box_id,layer,box_number,first_risk_hour,risk_percent_at_24h,mean_simulated_value_at_24h,p95_simulated_value_at_24h
L1B2,1,2,0,100.0,7.308218570571143,8.749799387241856
L1B1,1,1,0,99.8,7.263911599994826,8.94328188035811
L1B5,1,5,6,100.0,7.574594525045573,8.41051295164656
L2B6,2,6,6,89.0,5.7639253450404295,8.077556281042888
L1B3,1,3,6,87.2,7.6287237559387,13.01450107851193
L1B4,1,4,6,84.8,7.257850675495641,11.834958235492266
L4B18,4,18,12,91.60000000000001,6.813776749094893,9.936644590877695
L4B20,4,20,12,90.4,5.769644970337782,7.962490158743663
L4B17,4,17,12,81.6,5.615683654286565,8.294780452083902
L4B16,4,16,12,63.2,4.618119717310796,7.52383642410213
L3B13,3,13,12,54.400000000000006,4.4412210321561805,9.833868304705199
L2B8,2,8,12,42.0,3.76611911737209,6.002346950854789
L2B9,2,9,12,35.4,3.3533796866231316,6.705123975198137
L3B15,3,15,12,32.4,2.922846111468879,6.596847273345857
L3B11,3,11,12,26.8,2.8732592584127197,6.216930011299226
L2B10,2,10,12,22.400000000000002,3.3023750400593674,4.757057225038525
L4B19,4,19,18,47.0,3.836466283573379,8.595558615562776
L2B7,2,7,18,24.8,2.6562152811969866,6.35877232217255
L3B12,3,12,18,13.600000000000001,1.7991257815144566,4.952887889260279
L3B14,3,14,18,9.6,1.1206977280493235,4.855439193494208
