box_id,layer,box_number,hour,simulation_count,mean_simulated_value,stdev_simulated_value,min_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,max_simulated_value,risk_percent,observed_average,observed_stdev
L1B2,1,2,24,500,7.308218570571143,0.8269794960099863,4.874175060187321,5.996066959206494,7.289741467094144,8.749799387241856,10.478450746564905,100.0,7.324999999999999,0.8015609770940698
L1B5,1,5,24,500,7.574594525045573,0.5155187933365408,5.905165181121685,6.678112743041621,7.573389890636236,8.41051295164656,9.198377537199944,100.0,7.575,0.5377421934967229
L1B1,1,1,24,500,7.263911599994826,1.0215590576476359,3.8718451827547247,5.556668931835237,7.269484460000333,8.94328188035811,10.089586449828712,99.8,7.25,0.9882644720249074
L4B18,4,18,24,500,6.813776749094893,1.9430827470915,0.8627046127975841,3.5164790519246814,6.854703240100589,9.936644590877695,12.325654893320763,91.60000000000001,6.875,2.0039544239661065
L4B20,4,20,24,500,5.769644970337782,1.3634565610581675,1.7599456203961985,3.5661265785733676,5.788599947603746,7.962490158743663,9.83741793736478,90.4,5.775,1.4660036380127657
L2B6,2,6,24,500,5.7639253450404295,1.4206631384339103,1.913110241501324,3.3358531074432265,5.786194090510063,8.077556281042888,9.585836365910309,89.0,5.7,1.412444689182555
L1B3,1,3,24,500,7.6287237559387,3.2291321708021834,-1.7691325997413276,2.5165693008888903,7.468106564493054,13.01450107851193,16.029153011213882,87.2,7.574999999999999,3.1447045436203864
L1B4,1,4,24,500,7.257850675495641,2.975136286038646,-1.913673047271259,2.25637170027932,7.337783455724249,11.834958235492266,15.639704609429224,84.8,7.399999999999999,2.8855964143772206
L4B17,4,17,24,500,5.615683654286565,1.7272223080133848,0.8874764648093683,2.6307569516453433,5.618809880737524,8.294780452083902,11.36748268641872,81.6,5.574999999999999,1.6640813281407485
L4B16,4,16,24,500,4.618119717310796,1.837607123714317,-1.4696404680245363,1.679403816837561,4.657470872856221,7.52383642410213,9.867908288929735,63.2,4.625,1.8391574157749528
L3B13,3,13,24,500,4.4412210321561805,3.08321137298761,-3.818720459855127,-0.4777234968497077,4.297167984630915,9.833868304705199,14.765831487323029,54.400000000000006,4.540000000000001,3.0517208260258664
L4B19,4,19,24,500,3.836466283573379,2.942057404301342,-5.385330755195371,-1.1467963644499337,3.7497733652858756,8.595558615562776,12.654503305078896,47.0,3.8,2.8343135559308426
L2B8,2,8,24,500,3.76611911737209,1.357638838987384,-0.2758999640841368,1.6064099764555433,3.685622863698873,6.002346950854789,8.203286133202711,42.0,3.72,1.3809417076763233
L2B9,2,9,24,500,3.3533796866231316,1.9554602705807413,-2.454986083849202,-0.01448716167317795,3.413913257370194,6.705123975198137,9.00397195218375,35.4,3.38,1.9854470529329156
L3B15,3,15,24,500,2.922846111468879,2.2705531725327375,-4.116932125136431,-0.7558557437137706,2.9361430062466347,6.596847273345857,11.54211590594942,32.4,2.8800000000000003,2.2342784070030297
L3B11,3,11,24,500,2.8732592584127197,1.9671098570308168,-3.481571156559407,-0.37303743709550347,2.811198265926495,6.216930011299226,8.77070258480921,26.8,2.78,1.930543964793343
L2B7,2,7,24,500,2.6562152811969866,2.144609644796983,-3.9495578721005113,-1.056616945408407,2.6177993327091227,6.35877232217255,9.070559612195474,24.8,2.8,2.118962010041709
L2B10,2,10,24,500,3.3023750400593674,0.8968352927429811,0.0446366922852838,1.9102344694789462,3.257252299138917,4.757057225038525,6.074747047888483,22.400000000000002,3.22,0.9093954035511724
L3B12,3,12,24,500,1.7991257815144566,2.0193345841148984,-3.475729867095104,-1.615160280199047,1.8150839476731508,4.952887889260279,8.954633613437728,13.600000000000001,1.72,1.9253571097331528
L3B14,3,14,24,500,1.1206977280493235,2.266131755934101,-5.499736486167764,-2.7281085816358526,1.0565048242374786,4.855439193494208,8.947244205707978,9.6,1.1800000000000002,2.3199137915017447
