hour,box_id,layer,box_number,trial,value,x_inches,y_inches,z_inches,exposed_surfaces
0,L1B1,1,1,Trial 2,-0.9,11.75,31.5,35.0,3
0,L1B1,1,1,Trial 3,2.5,11.75,31.5,35.0,3
0,L1B1,1,1,Trial 5,-1.4,11.75,31.5,35.0,3
0,L1B1,1,1,Trial 6,0.9,11.75,31.5,35.0,3
0,L1B2,1,2,Trial 2,-1.0,35.25,31.5,35.0,3
0,L1B2,1,2,Trial 3,2.6,35.25,31.5,35.0,3
0,L1B2,1,2,Trial 5,-0.6,35.25,31.5,35.0,3
0,L1B2,1,2,Trial 6,1.3,35.25,31.5,35.0,3
0,L1B3,1,3,Trial 2,-0.1,8.0,11.75,35.0,3
0,L1B3,1,3,Trial 3,0.6,8.0,11.75,35.0,3
0,L1B3,1,3,Trial 5,-1.2,8.0,11.75,35.0,3
0,L1B3,1,3,Trial 6,0.0,8.0,11.75,35.0,3
0,L1B4,1,4,Trial 2,-1.3,24.0,11.75,35.0,2
0,L1B4,1,4,Trial 3,-0.7,24.0,11.75,35.0,2
0,L1B4,1,4,Trial 5,-1.4,24.0,11.75,35.0,2
0,L1B4,1,4,Trial 6,-0.1,24.0,11.75,35.0,2
0,L1B5,1,5,Trial 2,-1.2,40.0,11.75,35.0,3
0,L1B5,1,5,Trial 3,-0.3,40.0,11.75,35.0,3
0,L1B5,1,5,Trial 5,-1.4,40.0,11.75,35.0,3
0,L1B5,1,5,Trial 6,0.7,40.0,11.75,35.0,3
0,L2B6,2,6,Trial 2,-1.0,11.75,8.0,25.0,2
0,L2B6,2,6,Trial 3,0.7,11.75,8.0,25.0,2
0,L2B6,2,6,Trial 4,-1.1,11.75,8.0,25.0,2
0,L2B6,2,6,Trial 5,-1.2,11.75,8.0,25.0,2
0,L2B6,2,6,Trial 6,-0.1,11.75,8.0,25.0,2
0,L2B7,2,7,Trial 2,-1.1,35.25,8.0,25.0,1
0,L2B7,2,7,Trial 3,0.0,35.25,8.0,25.0,1
0,L2B7,2,7,Trial 4,-1.2,35.25,8.0,25.0,1
0,L2B7,2,7,Trial 5,-1.3,35.25,8.0,25.0,1
0,L2B7,2,7,Trial 6,-1.1,35.25,8.0,25.0,1
0,L2B8,2,8,Trial 2,-1.1,8.0,27.75,25.0,2
0,L2B8,2,8,Trial 3,-0.5,8.0,27.75,25.0,2
0,L2B8,2,8,Trial 4,-1.0,8.0,27.75,25.0,2
0,L2B8,2,8,Trial 5,-1.2,8.0,27.75,25.0,2
0,L2B8,2,8,Trial 6,-0.9,8.0,27.75,25.0,2
0,L2B9,2,9,Trial 2,-0.6,24.0,27.75,25.0,2
0,L2B9,2,9,Trial 3,-0.6,24.0,27.75,25.0,2
0,L2B9,2,9,Trial 4,-1.2,24.0,27.75,25.0,2
