box_id,layer,box_number,hour,risky_observations,total_observations,risk_percent
L1B1,1,1,0,0,4,0.0
L1B1,1,1,2,0,4,0.0
L1B1,1,1,4,0,4,0.0
L1B1,1,1,6,0,4,0.0
L1B1,1,1,8,0,4,0.0
L1B1,1,1,10,1,4,25.0
L1B1,1,1,12,2,4,50.0
L1B1,1,1,14,2,4,50.0
L1B1,1,1,16,4,4,100.0
L1B1,1,1,18,4,4,100.0
L1B1,1,1,20,4,4,100.0
L1B1,1,1,22,4,4,100.0
L1B1,1,1,24,4,4,100.0
L1B2,1,2,0,0,4,0.0
L1B2,1,2,2,0,4,0.0
L1B2,1,2,4,0,4,0.0
L1B2,1,2,6,0,4,0.0
L1B2,1,2,8,0,4,0.0
L1B2,1,2,10,2,4,50.0
L1B2,1,2,12,2,4,50.0
L1B2,1,2,14,3,4,75.0
L1B2,1,2,16,4,4,100.0
L1B2,1,2,18,4,4,100.0
L1B2,1,2,20,4,4,100.0
L1B2,1,2,22,4,4,100.0
L1B2,1,2,24,4,4,100.0
L1B3,1,3,0,0,4,0.0
L1B3,1,3,2,0,4,0.0
L1B3,1,3,4,0,4,0.0
L1B3,1,3,6,0,4,0.0
L1B3,1,3,8,1,4,25.0
L1B3,1,3,10,0,4,0.0
L1B3,1,3,12,3,4,75.0
L1B3,1,3,14,3,4,75.0
L1B3,1,3,16,4,4,100.0
L1B3,1,3,18,4,4,100.0
L1B3,1,3,20,4,4,100.0
L1B3,1,3,22,4,4,100.0
L1B3,1,3,24,4,4,100.0
L1B4,1,4,0,0,4,0.0
L1B4,1,4,2,0,4,0.0
L1B4,1,4,4,0,4,0.0
L1B4,1,4,6,1,4,25.0
L1B4,1,4,8,1,4,25.0
L1B4,1,4,10,2,4,50.0
L1B4,1,4,12,2,4,50.0
L1B4,1,4,14,3,4,75.0
L1B4,1,4,16,3,4,75.0
L1B4,1,4,18,3,4,75.0
L1B4,1,4,20,3,4,75.0
L1B4,1,4,22,3,4,75.0
L1B4,1,4,24,3,4,75.0
L1B5,1,5,0,0,4,0.0
L1B5,1,5,2,0,4,0.0
L1B5,1,5,4,0,4,0.0
L1B5,1,5,6,0,4,0.0
L1B5,1,5,8,0,4,0.0
L1B5,1,5,10,2,4,50.0
L1B5,1,5,12,3,4,75.0
L1B5,1,5,14,3,4,75.0
L1B5,1,5,16,4,4,100.0
L1B5,1,5,18,4,4,100.0
L1B5,1,5,20,4,4,100.0
L1B5,1,5,22,4,4,100.0
L1B5,1,5,24,4,4,100.0
L2B10,2,10,0,0,5,0.0
L2B10,2,10,2,0,5,0.0
L2B10,2,10,4,0,5,0.0
L2B10,2,10,6,0,5,0.0
L2B10,2,10,8,0,5,0.0
L2B10,2,10,10,0,5,0.0
L2B10,2,10,12,0,5,0.0
L2B10,2,10,14,0,5,0.0
L2B10,2,10,16,0,5,0.0
L2B10,2,10,18,0,5,0.0
L2B10,2,10,20,0,5,0.0
L2B10,2,10,22,0,5,0.0
L2B10,2,10,24,1,5,20.0
L2B6,2,6,0,0,5,0.0
L2B6,2,6,2,0,5,0.0
L2B6,2,6,4,0,5,0.0
L2B6,2,6,6,0,5,0.0
L2B6,2,6,8,0,5,0.0
L2B6,2,6,10,0,5,0.0
L2B6,2,6,12,0,5,0.0
L2B6,2,6,14,0,5,0.0
L2B6,2,6,16,1,5,20.0
L2B6,2,6,18,2,5,40.0
L2B6,2,6,20,3,5,60.0
L2B6,2,6,22,4,5,80.0
L2B6,2,6,24,5,5,100.0
L2B7,2,7,0,0,5,0.0
L2B7,2,7,2,0,5,0.0
L2B7,2,7,4,0,5,0.0
L2B7,2,7,6,0,5,0.0
L2B7,2,7,8,0,5,0.0
L2B7,2,7,10,0,5,0.0
L2B7,2,7,12,0,5,0.0
L2B7,2,7,14,0,5,0.0
L2B7,2,7,16,0,5,0.0
L2B7,2,7,18,0,5,0.0
L2B7,2,7,20,1,5,20.0
L2B7,2,7,22,1,5,20.0
L2B7,2,7,24,1,5,20.0
L2B8,2,8,0,0,5,0.0
L2B8,2,8,2,0,5,0.0
L2B8,2,8,4,0,5,0.0
L2B8,2,8,6,0,5,0.0
L2B8,2,8,8,0,5,0.0
