box_id,layer,box_number,x_inches,y_inches,z_inches,exposed_surfaces,overall_mean,hour_24_mean,peak_mean,lowest_mean,change_0_to_24
L1B3,1,3,8.0,11.75,35.0,3,3.9423076923076925,7.575,7.575,-0.175,7.75
L1B5,1,5,40.0,11.75,35.0,3,3.6326923076923077,7.575,7.575,-0.55,8.125
L1B4,1,4,24.0,11.75,35.0,2,3.332692307692308,7.4,7.4,-1.25,8.275
L1B2,1,2,35.25,31.5,35.0,3,3.8096153846153844,7.324999999999999,7.324999999999999,0.2,6.749999999999999
L1B1,1,1,11.75,31.5,35.0,3,3.5942307692307693,7.25,7.25,-0.35,6.975
L4B18,4,18,8.0,27.75,5.0,3,2.751923076923077,6.875,6.875,-0.425,7.2
L4B20,4,20,40.0,27.75,5.0,3,2.375,5.775,5.775,-0.425,6.15
L2B6,2,6,11.75,8.0,25.0,2,2.187692307692308,5.7,5.7,-0.58,6.24
L4B17,4,17,35.25,8.0,5.0,3,2.1865384615384618,5.575,5.575,-0.32499999999999996,5.775
L4B16,4,16,11.75,8.0,5.0,3,1.3269230769230769,4.625,4.625,-0.625,5.05
L3B13,3,13,8.0,27.75,15.0,2,1.3415384615384616,4.54,4.54,-0.86,5.26
L4B19,4,19,24.0,27.75,5.0,2,0.551923076923077,3.8000000000000003,3.8000000000000003,-0.775,4.4750000000000005
L2B8,2,8,8.0,27.75,25.0,2,0.6092307692307692,3.72,3.72,-1.04,4.66
L2B9,2,9,24.0,27.75,25.0,2,0.8246153846153846,3.38,3.38,-0.9199999999999999,4.3
L2B10,2,10,40.0,27.75,25.0,2,0.5523076923076923,3.22,3.22,-1.0,4.220000000000001
L3B15,3,15,40.0,27.75,15.0,2,0.9446153846153845,2.88,2.88,-0.52,3.4
L2B7,2,7,35.25,8.0,25.0,1,0.1969230769230769,2.8,2.8,-1.1400000000000001,3.7399999999999998
L3B11,3,11,11.75,8.0,15.0,2,0.6215384615384616,2.7800000000000002,2.7800000000000002,-0.8800000000000001,3.46
L3B12,3,12,35.25,8.0,15.0,2,0.14923076923076922,1.72,1.72,-0.8,2.36
L3B14,3,14,24.0,27.75,15.0,1,-0.08769230769230771,1.18,1.18,-0.82,1.94
