layer,hour,risky_observations,total_observations,risk_percent
1,0,0,20,0.0
1,2,0,20,0.0
1,4,0,20,0.0
1,6,1,20,5.0
1,8,2,20,10.0
1,10,7,20,35.0
1,12,12,20,60.0
1,14,14,20,70.0
1,16,19,20,95.0
1,18,19,20,95.0
1,20,19,20,95.0
1,22,19,20,95.0
1,24,19,20,95.0
2,0,0,25,0.0
2,2,0,25,0.0
2,4,0,25,0.0
2,6,0,25,0.0
2,8,0,25,0.0
2,10,0,25,0.0
2,12,0,25,0.0
2,14,0,25,0.0
2,16,1,25,4.0
2,18,4,25,16.0
2,20,6,25,24.0
2,22,8,25,32.0
2,24,10,25,40.0
3,0,0,25,0.0
3,2,0,25,0.0
3,4,0,25,0.0
3,6,0,25,0.0
3,8,0,25,0.0
3,10,0,25,0.0
3,12,0,25,0.0
3,14,1,25,4.0
3,16,3,25,12.0
3,18,3,25,12.0
3,20,4,25,16.0
3,22,4,25,16.0
3,24,7,25,28.000000000000004
4,0,0,20,0.0
4,2,0,20,0.0
4,4,0,20,0.0
4,6,0,20,0.0
4,8,0,20,0.0
4,10,0,20,0.0
4,12,1,20,5.0
4,14,3,20,15.0
4,16,5,20,25.0
4,18,9,20,45.0
4,20,11,20,55.00000000000001
4,22,13,20,65.0
4,24,15,20,75.0
