layer,hour,mean_value,stdev_value,min_value,max_value,observation_count
1,0,-0.14999999999999997,1.238207532983402,-1.4,2.6,20
1,2,-0.40499999999999997,1.204148530792828,-2.4,1.6,20
1,4,0.175,1.8421597736295696,-2.0,3.5,20
1,6,1.1300000000000001,1.9539703170723963,-2.6,4.9,20
1,8,1.9149999999999998,2.3484093160668293,-1.8,6.6,20
1,10,2.96,1.902740406001717,-1.0,5.4,20
1,12,4.5600000000000005,2.2556128820531707,-0.6,10.0,20
1,14,4.845000000000001,2.1687918053000943,0.7,12.0,20
1,16,5.83,1.908457630212363,2.1,11.2,20
1,18,6.075,1.328978634337782,2.2,7.9,20
1,20,6.779999999999999,1.6788467219461916,3.7,11.2,20
1,22,6.470000000000001,1.595091153970106,3.7,8.5,20
1,24,7.425,1.7876403146989168,3.7,11.9,20
2,0,-0.868,0.46790312387644223,-1.3,0.7,25
2,2,-0.9159999999999999,0.42,-1.4,0.6,25
2,4,-0.608,0.6310837239754062,-1.2,1.1,25
2,6,-0.556,0.7995206897468841,-1.2,1.3,25
2,8,-0.23199999999999998,0.9664022626905079,-1.2,2.1,25
2,10,-0.08000000000000003,1.1143009766964518,-1.3,2.3,25
2,12,0.7,1.4118545723031581,-1.2,3.1,25
2,14,0.836,1.4465130486794788,-1.2,3.5,25
2,16,1.624,1.6163951662057559,-0.9,4.9,25
2,18,2.124,1.8171130949943648,-0.9,5.6,25
2,20,2.7039999999999997,1.7873350739765237,-0.8,6.8,25
2,22,2.872,1.710876968107292,-0.2,7.1,25
2,24,3.764,1.8057500749919222,0.4,8.1,25
3,0,-0.664,0.336501609703926,-1.2,0.1,25
3,2,-0.748,0.46018112376179304,-1.2,0.6,25
3,4,-0.452,0.7879932317814243,-1.2,2.0,25
3,6,-0.368,0.751509591866043,-1.1,1.4,25
3,8,-0.188,1.1540941613808353,-1.7,2.8,25
3,10,0.10400000000000001,1.163858525193963,-1.2,2.6,25
3,12,0.512,1.6127926091100493,-1.7,3.6,25
3,14,0.6559999999999999,1.710769807231041,-1.5,4.3,25
3,16,1.044,1.9956369075226754,-1.6,5.0,25
3,18,1.508,2.0299671590118558,-0.9,6.3,25
3,20,1.732,2.247353999707211,-1.5,6.6,25
3,22,1.964,2.2341814310092785,-0.9,7.7,25
3,24,2.62,2.430706344528959,-1.4,7.6,25
4,0,-0.4,0.34641016151377546,-0.8,0.5,20
4,2,-0.515,0.3216323497738569,-0.8,0.3,20
4,4,-0.16999999999999998,0.6921362810740002,-0.9,1.6,20
4,6,-0.1,0.7745966692414834,-0.8,2.1,20
4,8,0.4,1.0823950052399638,-0.8,3.2,20
4,10,0.79,1.2681939084673464,-1.2,3.5,20
4,12,1.4849999999999999,1.619380973348182,-1.3,4.9,20
4,14,1.9,1.6861666272159588,-1.0,5.0,20
4,16,2.8649999999999998,1.8513935007817333,-0.7,6.1,20
4,18,3.3549999999999995,1.9605249028606708,-0.8,7.2,20
4,20,4.220000000000001,2.001736088604353,-0.3,7.9,20
4,22,4.74,1.9961541971870231,0.0,8.6,20
4,24,5.33,2.08985015831531,0.0,9.1,20
