box_id,layer,box_number,hour,x_inches,y_inches,z_inches,exposed_surfaces,observed_mean,observed_stdev,observed_trial_count,simulation_count,mean_simulated_value,stdev_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,risk_percent,mean_difference,absolute_mean_difference,observed_is_risky,monte_carlo_is_risky,risk_agreement,observed_inside_5_95_interval
L1B5,1,5,24,40.0,11.75,35.0,3,7.575,0.537742193496723,4,500,7.574594525045573,0.5155187933365408,6.678112743041621,7.573389890636236,8.41051295164656,100.0,-0.00040547495442755377,0.00040547495442755377,True,True,True,True
L1B2,1,2,24,35.25,31.5,35.0,3,7.324999999999999,0.8015609770940699,4,500,7.308218570571143,0.8269794960099863,5.996066959206494,7.289741467094144,8.749799387241856,100.0,-0.016781429428855965,0.016781429428855965,True,True,True,True
L1B1,1,1,24,11.75,31.5,35.0,3,7.25,0.9882644720249062,4,500,7.263911599994826,1.021559057647636,5.556668931835237,7.269484460000333,8.94328188035811,99.8,0.013911599994825607,0.013911599994825607,True,True,True,True
L4B18,4,18,24,8.0,27.75,5.0,3,6.875,2.003954423966108,4,500,6.813776749094893,1.9430827470915,3.5164790519246814,6.854703240100589,9.936644590877696,91.6,-0.061223250905107385,0.061223250905107385,True,True,True,True
L4B20,4,20,24,40.0,27.75,5.0,3,5.775,1.4660036380127666,4,500,5.769644970337782,1.3634565610581677,3.566126578573368,5.788599947603746,7.962490158743663,90.4,-0.005355029662218236,0.005355029662218236,True,True,True,True
L2B6,2,6,24,11.75,8.0,25.0,2,5.7,1.4124446891825533,5,500,5.7639253450404295,1.4206631384339103,3.3358531074432265,5.786194090510063,8.077556281042888,89.0,0.06392534504042935,0.06392534504042935,True,True,True,True
L1B3,1,3,24,8.0,11.75,35.0,3,7.575,3.144704543620381,4,500,7.6287237559387,3.2291321708021834,2.5165693008888903,7.468106564493054,13.01450107851193,87.2,0.053723755938699824,0.053723755938699824,True,True,True,True
L1B4,1,4,24,24.0,11.75,35.0,2,7.4,2.88559641437722,4,500,7.257850675495641,2.975136286038646,2.25637170027932,7.337783455724249,11.834958235492266,84.8,-0.14214932450435924,0.14214932450435924,True,True,True,True
L4B17,4,17,24,35.25,8.0,5.0,3,5.575,1.664081328140745,4,500,5.615683654286565,1.7272223080133848,2.6307569516453437,5.618809880737524,8.294780452083902,81.6,0.04068365428656495,0.04068365428656495,True,True,True,True
L4B16,4,16,24,11.75,8.0,5.0,3,4.625,1.839157415774952,4,500,4.618119717310796,1.837607123714317,1.679403816837561,4.657470872856221,7.52383642410213,63.2,-0.0068802826892042646,0.0068802826892042646,True,True,True,True
L3B13,3,13,24,8.0,27.75,15.0,2,4.54,3.0517208260258677,5,500,4.4412210321561805,3.08321137298761,-0.4777234968497077,4.297167984630915,9.8338683047052,54.400000000000006,-0.09877896784381957,0.09877896784381957,True,True,True,True
L4B19,4,19,24,24.0,27.75,5.0,2,3.8,2.8343135559308417,4,500,3.836466283573379,2.942057404301342,-1.1467963644499335,3.749773365285876,8.595558615562776,47.0,0.03646628357337933,0.03646628357337933,False,False,True,True
L2B8,2,8,24,8.0,27.75,25.0,2,3.72,1.3809417076763233,5,500,3.76611911737209,1.357638838987384,1.6064099764555433,3.685622863698873,6.002346950854789,42.0,0.046119117372089846,0.046119117372089846,False,False,True,True
L2B9,2,9,24,24.0,27.75,25.0,2,3.38,1.9854470529329156,5,500,3.353379686623132,1.9554602705807411,-0.0144871616731779,3.413913257370194,6.705123975198137,35.4,-0.026620313376867877,0.026620313376867877,False,False,True,True
L3B15,3,15,24,40.0,27.75,15.0,2,2.88,2.2342784070030306,5,500,2.922846111468879,2.270553172532737,-0.7558557437137706,2.9361430062466347,6.596847273345857,32.4,0.042846111468878956,0.042846111468878956,False,False,True,True
L3B11,3,11,24,11.75,8.0,15.0,2,2.78,1.9305439647933436,5,500,2.87325925841272,1.9671098570308168,-0.3730374370955034,2.811198265926495,6.216930011299226,26.8,0.09325925841272031,0.09325925841272031,False,False,True,True
L2B7,2,7,24,35.25,8.0,25.0,1,2.8,2.118962010041709,5,500,2.6562152811969866,2.144609644796983,-1.056616945408407,2.6177993327091227,6.35877232217255,24.8,-0.14378471880301325,0.14378471880301325,False,False,True,True
L2B10,2,10,24,40.0,27.75,25.0,2,3.22,0.9093954035511728,5,500,3.3023750400593674,0.8968352927429811,1.9102344694789464,3.257252299138917,4.757057225038525,22.4,0.08237504005936724,0.08237504005936724,False,False,True,True
L3B12,3,12,24,35.25,8.0,15.0,2,1.72,1.9253571097331528,5,500,1.7991257815144566,2.0193345841148984,-1.615160280199047,1.8150839476731508,4.952887889260279,13.6,0.0791257815144566,0.0791257815144566,False,False,True,True
L3B14,3,14,24,24.0,27.75,15.0,1,1.18,2.3199137915017447,5,500,1.1206977280493235,2.266131755934101,-2.728108581635853,1.0565048242374786,4.855439193494208,9.6,-0.05930227195067639,0.05930227195067639,False,False,True,True
