layer,hour,observed_mean,monte_carlo_mean,mean_difference,mean_absolute_difference,monte_carlo_risk_percent,risk_agreement_percent,observed_inside_5_95_percent,box_count
1,0,-0.15,-0.17268862495372572,-0.022688624953725738,0.03567036343326108,0.76,100.0,100.0,5
1,6,1.1300000000000001,1.1698121394559298,0.03981213945592978,0.09202989751283246,9.36,100.0,100.0,5
1,12,4.5600000000000005,4.500407404289126,-0.059592595710874365,0.07966535734394195,63.08,80.0,100.0,5
1,18,6.075,5.943936834493828,-0.1310631655061721,0.17225791511526456,91.88,100.0,100.0,5
1,24,7.425,7.406659825409176,-0.018340174590823467,0.04539431696423364,94.36,100.0,100.0,5
2,0,-0.868,-0.8723931138390597,-0.004393113839059803,0.010049279518832744,0.0,100.0,100.0,5
2,6,-0.556,-0.5437706509894122,0.012229349010587764,0.014722385822772832,0.04,100.0,100.0,5
2,12,0.7,0.6694048551448694,-0.030595144855130672,0.06049114415061031,1.6800000000000002,100.0,100.0,5
2,18,2.124,2.1389245588671253,0.014924558867125048,0.036258295110255155,17.2,100.0,100.0,5
2,24,3.7640000000000002,3.7684028940584016,0.004402894058401064,0.07256490693035351,42.72,100.0,100.0,5
3,0,-0.6639999999999999,-0.6809546029246334,-0.016954602924633466,0.02056437584046673,0.0,100.0,100.0,5
3,6,-0.368,-0.3928861067977842,-0.024886106797784177,0.03032388366162724,0.0,100.0,100.0,5
3,12,0.512,0.5056635003947907,-0.006336499605209334,0.007605700624553402,2.8,100.0,100.0,5
3,18,1.508,1.4827459511940908,-0.02525404880590907,0.06265364695760436,10.88,100.0,100.0,5
3,24,2.62,2.631429982320312,0.011429982320311982,0.07466247823811037,27.360000000000003,100.0,100.0,5
4,0,-0.4,-0.4052858602077009,-0.005285860207700899,0.012342437784591853,0.0,100.0,100.0,5
4,6,-0.10000000000000002,-0.09763905402788634,0.002360945972113683,0.015991720037788915,0.0,100.0,100.0,5
4,12,1.4849999999999999,1.4880168579623105,0.0030168579623106595,0.024858928676562718,7.2,100.0,100.0,5
4,18,3.3549999999999995,3.3539625435700464,-0.0010374564299534318,0.04896110770806143,38.8,100.0,100.0,5
4,24,5.33,5.330738274920683,0.0007382749206828798,0.030121700223294835,74.76,100.0,100.0,5
