box_id,layer,box_number,hour,x_inches,y_inches,z_inches,exposed_surfaces,mean_value,stdev_value,min_value,max_value,trial_count
L1B1,1,1,0,11.75,31.5,35.0,3,0.275,1.782086791750989,-1.4,2.5,4
L1B1,1,1,2,11.75,31.5,35.0,3,-0.35,1.6603212540549694,-2.4,1.0,4
L1B1,1,1,4,11.75,31.5,35.0,3,0.07500000000000001,1.9602295783912658,-1.9,2.0,4
L1B1,1,1,6,11.75,31.5,35.0,3,1.25,2.6083200212652846,-2.6,3.0,4
L1B1,1,1,8,11.75,31.5,35.0,3,1.725,1.6028620235898867,0.1,3.2,4
L1B1,1,1,10,11.75,31.5,35.0,3,3.375,0.7135591542869217,2.8,4.4,4
L1B1,1,1,12,11.75,31.5,35.0,3,3.95,0.9539392014169458,2.9,4.9,4
L1B1,1,1,14,11.75,31.5,35.0,3,4.225,0.51234753829798,3.7,4.8,4
L1B1,1,1,16,11.75,31.5,35.0,3,5.375,0.5678908345800273,4.9,6.2,4
L1B1,1,1,18,11.75,31.5,35.0,3,6.25,0.8582928793055823,5.0,6.9,4
L1B1,1,1,20,11.75,31.5,35.0,3,6.875,0.9810708435174289,5.9,8.1,4
L1B1,1,1,22,11.75,31.5,35.0,3,6.449999999999999,1.752141546793523,4.3,8.2,4
L1B1,1,1,24,11.75,31.5,35.0,3,7.25,0.9882644720249062,5.8,8.0,4
L1B2,1,2,0,35.25,31.5,35.0,3,0.5750000000000001,1.682012683265696,-1.0,2.6,4
L1B2,1,2,2,35.25,31.5,35.0,3,0.2,1.5599145275730122,-1.2,1.6,4
L1B2,1,2,4,35.25,31.5,35.0,3,0.5249999999999999,1.8264263832230778,-1.7,2.3,4
L1B2,1,2,6,35.25,31.5,35.0,3,1.625,1.3598406769422169,0.0,3.1,4
L1B2,1,2,8,35.25,31.5,35.0,3,1.95,1.7823205847059802,-0.5,3.5,4
L1B2,1,2,10,35.25,31.5,35.0,3,3.35,1.571623364550171,1.3,5.0,4
L1B2,1,2,12,35.25,31.5,35.0,3,4.1,0.9092121131323904,3.1,5.3,4
L1B2,1,2,14,35.25,31.5,35.0,3,4.55,1.6196707484341792,2.4,5.8,4
L1B2,1,2,16,35.25,31.5,35.0,3,5.525,1.090489186863706,4.1,6.7,4
L1B2,1,2,18,35.25,31.5,35.0,3,6.4,1.104536101718726,5.4,7.5,4
L1B2,1,2,20,35.25,31.5,35.0,3,6.675,0.65,6.1,7.6,4
L1B2,1,2,22,35.25,31.5,35.0,3,6.725,2.0483733383671376,4.0,8.4,4
L1B2,1,2,24,35.25,31.5,35.0,3,7.324999999999999,0.8015609770940699,6.3,8.1,4
L1B3,1,3,0,8.0,11.75,35.0,3,-0.175,0.7499999999999999,-1.2,0.6,4
L1B3,1,3,2,8.0,11.75,35.0,3,-0.125,0.5737304826019501,-0.9,0.4,4
L1B3,1,3,4,8.0,11.75,35.0,3,0.975,2.223173407541571,-1.9,3.5,4
L1B3,1,3,6,8.0,11.75,35.0,3,0.6,1.2463279397226612,-1.1,1.9,4
L1B3,1,3,8,8.0,11.75,35.0,3,2.55,3.480900266693469,-1.8,6.6,4
L1B3,1,3,10,8.0,11.75,35.0,3,2.1,2.1756225162774294,-1.0,3.8,4
L1B3,1,3,12,8.0,11.75,35.0,3,5.85,3.183813227352802,2.3,10.0,4
L1B3,1,3,14,8.0,11.75,35.0,3,6.225,3.933086150425219,3.2,12.0,4
L1B3,1,3,16,8.0,11.75,35.0,3,7.0249999999999995,2.9915157807818207,4.1,11.2,4
L1B3,1,3,18,8.0,11.75,35.0,3,5.7,1.1045361017187263,4.1,6.6,4
L1B3,1,3,20,8.0,11.75,35.0,3,7.1,2.8774989139876315,5.0,11.2,4
L1B3,1,3,22,8.0,11.75,35.0,3,5.85,1.1789826122551597,4.7,7.1,4
L1B3,1,3,24,8.0,11.75,35.0,3,7.575,3.144704543620381,5.1,11.9,4
L1B4,1,4,0,24.0,11.75,35.0,2,-0.875,0.6020797289396148,-1.4,-0.1,4
L1B4,1,4,2,24.0,11.75,35.0,2,-1.25,0.8062257748298548,-1.9,-0.1,4
L1B4,1,4,4,24.0,11.75,35.0,2,-0.5,2.2286019533929036,-1.9,2.8,4
